PID;TEMPO DE CHEGADA; TEMPO DE EXECUCAO; TEMPO DE ESPERA; TEMPO TOTAL
5;0.882;0.718;0.0;0.718
10;1.728;0.456;0.0;0.456
4;1.497;4.968;1.0;5.968
6;2.114;1.523;0.0;1.523
9;2.556;4.261;0.0;4.261
3;3.52;1.515;0.0;1.515
8;3.402;2.789;2.0;4.789
2;4.102;4.424;0.0;4.424
7;4.462;3.454;2.0;5.454000000000001
1;4.549;4.062;5.0;9.062000000000001
tp; to; tt; qtdeTrocaContexto; OcupacaoDoProcessador; OverheadDeProcessamento; tempoMedioDeEspera; quantum
28.17;5.4999999999999964;33.67;55;0.8366498366498366;0.16335016335016322;1.0;
